title,price,path,sub,home,area,toward,house_type
['整租·长虹世纪城二期 1室1厅 南'],['1400'],['涪城区'],['高水'],['长虹世纪城二期'],['58.00㎡'],['南'],['1室1厅1卫']
['整租·海赋长兴2期 2室2厅 南'],['2100'],['涪城区'],['经开区'],['海赋长兴2期'],['86.65㎡'],['南'],['2室2厅1卫']
['整租·阳光清华C区 3室2厅 东南'],['1800'],['涪城区'],['科创园区'],['阳光清华C区'],['93.00㎡'],['东南'],['3室2厅2卫']
['整租·彩印厂单位房 2室2厅 东南'],['1200'],['涪城区'],['南河坝'],['彩印厂单位房'],['85.00㎡'],['东南'],['2室2厅1卫']
['整租·九洲·跃进路1958二期 1室1厅 南/北'],['1700'],['涪城区'],['1958'],['九洲·跃进路1958二期'],['69.00㎡'],['南 北'],['1室1厅1卫']
['整租·阳光清华C区 3室2厅 东南'],['1500'],['涪城区'],['科创园区'],['阳光清华C区'],['95.00㎡'],['东南'],['3室2厅2卫']
['整租·华丰第四生活区 2室2厅 东南'],['850'],['涪城区'],['1958'],['华丰第四生活区'],['84.00㎡'],['东南'],['2室2厅1卫']
['整租·万达CBD广场 1室1厅 西南'],['1000'],['涪城区'],['经开区'],['万达CBD广场'],['50.00㎡'],['西南'],['1室1厅1卫']
['整租·东方华庭 2室2厅 东'],['1500'],['涪城区'],['1958'],['东方华庭'],['86.00㎡'],['东'],['2室2厅1卫']
['整租·富临·大都会 2室2厅 西'],['1600'],['涪城区'],['大都会'],['富临·大都会'],['81.00㎡'],['西'],['2室2厅1卫']
['整租·海棠花园 2室2厅 东南'],['900'],['涪城区'],['高新'],['海棠花园'],['80.00㎡'],['东南'],['2室2厅1卫']
['整租·富临时尚天街 2室2厅 东/西'],['1850'],['涪城区'],['大都会'],['富临时尚天街'],['80.00㎡'],['东 西'],['2室2厅1卫']
['整租·樊华似锦一期 2室2厅 北'],['1600'],['涪城区'],['高新'],['樊华似锦一期'],['80.00㎡'],['北'],['2室2厅1卫']
['整租·恒跃名城 3室2厅 东南'],['2000'],['安州区'],['安州'],['恒跃名城'],['103.00㎡'],['东南'],['3室2厅2卫']
['整租·樊华似锦二期 3室2厅 东'],['1500'],['涪城区'],['高新'],['樊华似锦二期'],['93.00㎡'],['东'],['3室2厅1卫']
['整租·万达SOHO 1室1厅 南'],['3500'],['涪城区'],['火车站'],['万达SOHO'],['101.00㎡'],['南'],['1室1厅1卫']
['整租·中元广场 2室2厅 南'],['1200'],['涪城区'],['高新'],['中元广场'],['78.00㎡'],['南'],['2室2厅1卫']
['整租·富临·丽景花城 3室2厅 错层 南'],['2100'],['涪城区'],['火车站'],['富临·丽景花城'],['128.00㎡'],['南'],['3室2厅2卫']
['整租·倍特·林郡 3室2厅 错层 东北'],['1800'],['涪城区'],['科创园区'],['倍特·林郡'],['128.98㎡'],['东北'],['3室2厅2卫']
['整租·恒业·塞纳阳光 2室2厅 东南'],['1500'],['涪城区'],['高新'],['恒业·塞纳阳光'],['78.40㎡'],['东南'],['2室2厅1卫']
['整租·九洲·跃进路1958三期 2室1厅 东'],['2400'],['涪城区'],['1958'],['九洲·跃进路1958三期'],['87.00㎡'],['东'],['2室1厅1卫']
['整租·万达SOHO 2室1厅 北'],['4500'],['涪城区'],['火车站'],['万达SOHO'],['104.00㎡'],['北'],['2室1厅1卫']
['整租·万达CBD广场 1室0厅 西南'],['900'],['涪城区'],['经开区'],['万达CBD广场'],['50.00㎡'],['西南'],['1室0厅0卫']
['整租·倍特▪領尚一期 3室2厅 南'],['1300'],['涪城区'],['科创园区'],['倍特▪領尚一期'],['133.50㎡'],['南'],['3室2厅2卫']
['整租·体育小区 3室2厅 南'],['1000'],['江油市'],['江油'],['体育小区'],['90.17㎡'],['南'],['3室2厅1卫']
['整租·碧桂园·绵州府 4室2厅 南'],['1250'],['江油市'],['江油'],['碧桂园·绵州府'],['143.00㎡'],['南'],['4室2厅2卫']
['整租·时代大厦 1室1厅 南'],['1400'],['涪城区'],['涪城'],['时代大厦'],['80.80㎡'],['南'],['1室1厅1卫']
['整租·608单位房 2室2厅 南'],['750'],['涪城区'],['高新'],['608单位房'],['72.00㎡'],['南'],['2室2厅1卫']
['整租·21世纪花园长兴名苑 4室1厅 南'],['1500'],['涪城区'],['高新'],['21世纪花园长兴名苑'],['152.42㎡'],['南'],['4室1厅2卫']
['整租·工商银行家属院 4室1厅 南'],['1600'],['涪城区'],['大都会'],['工商银行家属院'],['108.00㎡'],['南'],['4室1厅1卫']
